ml_04,1507156497.7509768,1507157049.8428972,552.091920375824,0.9695
ml_08,1507156497.7922387,1507157054.391155,556.5989162921906,0.96955
ml_06,1507156497.577633,1507157058.4301867,560.8525538444519,0.96985
ml_03,1507156497.7637439,1507157057.8465812,560.0828373432159,0.97005
ml_05,1507156497.6791692,1507157060.1962032,562.5170340538025,0.97005
ml_07,1507156499.187696,1507157051.4417746,552.2540786266327,0.9695
ml_02,1507156497.3925776,1507157052.7143748,555.3217971324921,0.96955
ml_01,1507156504.234103,1507157062.3630264,558.1289234161377,0.97005
****
ml_06,1507157583.8697376,1507158102.389,518.5192623138428,0.96975
ml_03,1507157582.3835883,1507158104.0089011,521.6253128051758,0.96985
ml_04,1507157582.3298097,1507158104.0909038,521.7610940933228,0.96985
ml_07,1507157584.1480756,1507158097.5655932,513.4175176620483,0.96925
ml_05,1507157582.3013918,1507158106.3235826,524.0221908092499,0.97
ml_08,1507157582.2554677,1507158107.494209,525.2387413978577,0.97
ml_02,1507157583.4437397,1507158103.2005985,519.7568588256836,0.96995
ml_01,1507157588.7793632,1507158110.0128708,521.2335076332092,0.97
****
ml_05,1507158469.1443574,1507158979.4344425,510.29008507728577,0.9699
ml_04,1507158469.5547874,1507158980.4342916,510.8795042037964,0.9699
ml_01,1507158475.5450084,1507158977.0457528,501.50074434280396,0.9697
ml_06,1507158469.354091,1507158987.7244895,518.3703985214233,0.9702
ml_08,1507158468.88237,1507158984.8489792,515.9666092395782,0.97
ml_03,1507158469.6484225,1507158989.3118708,519.6634483337402,0.9702
ml_07,1507158472.9446266,1507158978.3351984,505.39057183265686,0.9697
ml_02,1507158470.8711066,1507158990.0922017,519.221095085144,0.9702
****
ml_04,1507171095.5668037,1507171607.03353,511.4667263031006,0.9695
ml_02,1507171097.1878421,1507171602.6414273,505.45358514785767,0.96935
ml_05,1507171095.9236248,1507171613.8644743,517.9408495426178,0.96995
ml_03,1507171097.323979,1507171616.6641662,519.3401873111725,0.96995
ml_06,1507171097.1708655,1507171616.7477589,519.5768933296204,0.96995
ml_08,1507171095.996946,1507171614.4880114,518.4910652637482,0.96995
ml_01,1507171102.7761073,1507171614.1023,511.3261926174164,0.96995
ml_07,1507171096.5835428,1507171615.1489558,518.5654129981995,0.96995
****
ml_06,1507171799.3289897,1507172316.626887,517.2978973388672,0.97
ml_08,1507171799.295915,1507172322.0500124,522.7540974617004,0.9704
ml_03,1507171799.3272347,1507172321.464146,522.1369111537933,0.9704
ml_01,1507171804.9168365,1507172316.992,512.075163602829,0.97
ml_07,1507171801.0938628,1507172313.020786,511.9269232749939,0.97
ml_02,1507171800.3329492,1507172313.3703446,513.0373954772949,0.97
